0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143	261.574
0.153	289.588
0.163	348.423
0.173	425.020
0.183	490.469
0.193	520.298
0.203	400.964	529.181
0.213	400.866	528.581
0.223	400.543	526.069
0.233	400.084	235.096	524.203
0.243	399.684	280.579	523.325
0.253	399.490	312.049	523.144
0.263	399.470	326.287	523.348
0.273	399.460	330.337	523.710
0.283	399.350	330.490	524.132
0.293	399.164	330.358	524.635
0.303	126.015	398.958	330.883	525.228
0.313	125.608	398.774	331.618	525.820
0.323	127.599	398.624	332.033	526.324
0.333	130.628	398.497	332.097	526.698
0.343	132.725	398.380	332.042	526.855
0.353	133.651	398.267	332.040	526.691
0.363	133.984	398.156	332.103	526.123
0.373	134.050	398.054	332.165	525.062
0.383	134.009	397.985	332.172	523.522
0.393	133.860	397.989	332.148	521.673
0.403	133.607	398.061	332.166	519.911
0.413	133.313	398.170	332.291	518.632
0.423	133.010	398.264	332.533	518.050
0.433	132.742	398.307	332.882	518.245
0.443	132.515	398.295	333.254	519.155
0.453	132.348	398.228	333.568	520.633
0.463	132.226	398.124	333.893	522.443
0.473	132.151	397.997	334.273	524.341
0.483	132.121	397.860	334.667	526.188
0.493	132.104	397.730	334.986	527.944
0.503	132.086	397.627	335.149	529.419
0.513	132.077	397.567	335.134	530.207
0.523	132.084	397.576	334.983	529.971
0.533	132.099	397.663	334.765	528.818
0.543	132.113	397.807	334.508	527.042
0.553	132.121	397.947	334.226	524.961
0.563	132.128	398.041	333.953	522.901
0.573	132.134	398.089	333.739	521.295
0.583	132.136	398.108	333.598	520.515
0.593	132.127	398.112	333.539	520.819
0.603	132.101	398.108	333.565	522.096
0.613	132.058	398.105	333.635	523.990
0.623	132.016	398.109	333.681	526.093
0.633	131.984	398.120	333.658	528.017
0.643	131.947	398.148	333.550	529.436
0.653	131.888	398.195	333.396	530.196
0.663	131.825	398.243	333.214	530.238
0.673	131.797	398.285	332.995	529.606
0.683	131.809	398.320	332.832	528.405
0.693	131.835	398.344	332.927	526.879
0.703	131.860	398.365	333.640	525.243
0.713	131.879	398.397	335.349	523.733
0.723	131.883	398.433	338.100	522.599
0.733	131.888	398.447	340.562	522.071
0.743	131.920	398.425	338.253	522.280
0.753	131.973	398.394	321.493	523.066
0.763	132.035	398.443	284.461	524.070
0.773	132.129	398.770	232.733	525.013
0.783	132.272	399.669	202.130	525.746
0.793	132.466	401.281	195.820	526.257
0.803	132.687	403.212	226.645	526.623
0.813	132.789	404.513	261.629	526.990
0.823	132.357	404.392	285.709	527.609
0.833	130.745	403.236	296.634	528.791
0.843	126.893	401.743	299.504	530.828
0.853	120.818	400.499	299.195	533.582
0.863	115.278	399.707	298.474	535.562
0.873	114.026	399.185	298.096	534.201
0.883	121.521	398.773	298.033	527.648
0.893	137.826	398.511	298.050	517.750
0.903	162.908	398.464	297.992	507.624
0.913	186.755	398.647	297.820	499.154
0.923	198.362	398.904	297.551	494.514
0.933	202.443	399.039	297.266	493.461
0.943	202.298	399.029	297.062	493.891
0.953	201.090	398.880	296.983	494.322
0.963	200.006	398.622	297.010	493.980
0.973	199.267	398.327	297.072	493.395
0.983	198.751	398.050	297.140	493.268
0.993	198.371	397.815	297.198	493.762
1.003	198.086	397.644	297.223	494.595
1.013	197.880	397.534	297.202	495.503
1.023	197.726	397.468	297.138	496.392
1.033	197.609	397.434	297.060	497.204
1.043	197.515	397.438	296.997	497.924
1.053	197.442	397.448	296.958	498.522
1.063	197.389	397.437	296.957	498.824
1.073	197.344	397.422	297.005	498.719
1.083	197.302	397.401	297.084	498.275
1.093	197.261	397.337	297.163	497.507
1.103	197.216	397.220	297.215	496.410
1.113	197.164	397.081	297.242	495.059
1.123	197.114	396.948	297.271	493.678
1.133	197.095	396.826	297.317	492.448
1.143	197.130	396.725	297.353	491.523
1.153	197.225	396.649	297.340	491.011
1.163	197.381	396.612	297.284	490.862
1.173	197.585	396.627	297.215	491.004
1.183	197.794	396.686	297.175	491.400
1.193	197.971	396.767	297.182	492.119
1.203	198.088	396.843	297.207	493.178
1.213	198.136	396.880	297.207	494.475
1.223	198.132	396.843	297.167	495.795
1.233	198.099	396.742	297.119	496.873
1.243	198.044	396.628	297.100	497.460
1.253	197.958	396.545	297.113	497.323
1.263	197.840	396.511	297.126	496.455
1.273	197.694	396.531	297.121	495.041
1.283	197.527	396.596	297.093	493.340
1.293	197.350	396.687	297.039	491.625
1.303	197.159	396.773	296.994	490.133
1.313	196.946	396.846	296.997	489.032
1.323	196.721	396.896	297.044	488.395
1.333	196.520	396.905	297.099	488.325
1.343	196.370	396.874	297.126	488.719
1.353	196.286	396.792	297.117	489.500
1.363	196.288	396.685	297.091	490.515
1.373	196.391	396.714	297.057	491.518
1.383	196.594	397.172	296.986	492.330
1.393	196.886	398.400	296.845	492.864
1.403	197.295	400.651	296.626	493.093
1.413	197.887	403.309	296.424	493.160
1.423	198.815	404.912	296.397	493.291
1.433	200.183	403.626	296.786	493.943
1.443	201.789	398.515	298.017	495.519
1.453	202.730	391.258	300.082	496.921
1.463	200.930	384.444	302.658	494.759
1.473	193.264	380.375	304.881	485.847
1.483	178.320	378.535	305.760	471.561
1.493	161.239	377.735	304.455	456.000
1.503	150.811	377.234	301.231	444.188
1.513	146.716	376.933	296.939	438.700
1.523	146.738	376.829	292.963	437.331
1.533	148.062	376.877	290.844	437.770
1.543	149.113	376.989	290.773	438.507
1.553	149.464	377.081	292.005	438.958
1.563	149.344	377.118	293.586	439.132
1.573	149.039	377.097	295.081	439.158
1.583	148.747	377.047	296.227	439.141
1.593	148.552	376.985	296.867	439.120
1.603	148.450	376.922	297.028	439.103
1.613	148.412	376.874	296.826	439.099
1.623	148.406	376.817	296.447	439.103
1.633	148.412	376.710	296.024	439.090
1.643	148.401	376.571	295.645	439.050
1.653	148.357	376.434	295.381	439.004
1.663	148.299	376.308	295.240	438.994
1.673	148.239	376.187	295.231	439.047
1.683	148.188	376.085	295.349	439.144
1.693	148.172	376.022	295.613	439.243
1.703	148.186	375.989	295.984	439.318
1.713	148.212	375.963	296.385	439.365
1.723	148.232	375.932	296.774	439.382
1.733	148.225	375.895	297.284	439.374
1.743	148.186	375.871	298.191	439.356
1.753	148.124	375.871	299.751	439.337
1.763	148.068	375.897	301.977	439.319
1.773	148.022	375.943	304.199	439.288
1.783	147.981	376.002	305.165	439.247
1.793	147.963	376.062	303.475	439.209
1.803	147.989	376.107	296.560	439.187
1.813	148.040	376.122	285.270	439.187
1.823	148.081	376.111	273.110	439.203
1.833	148.094	376.086	264.805	439.229
1.843	148.080	376.049	261.638	439.258
1.853	148.035	376.002	261.316	439.279
1.863	147.963	375.952	262.159	439.282
1.873	147.886	375.919	263.315	439.277
1.883	147.832	375.945	264.260	439.273
1.893	147.800	376.082	264.639	439.256
1.903	147.783	376.374	264.491	439.192
1.913	147.779	376.833	264.089	439.061
1.923	147.792	377.408	263.653	438.903
1.933	147.838	378.011	263.249	438.849
1.943	147.935	378.528	262.914	439.247
1.953	148.081	378.938	262.694	440.533
1.963	148.215	379.299	262.620	442.908
1.973	148.253	379.576	262.712	445.940
1.983	148.173	379.600	262.963	448.169
1.993	148.093	379.203	263.286	447.059
2.003	148.447	377.700	263.604	438.525
2.013	150.134	372.283	263.936	416.605
2.023	153.789	358.407	264.415	376.921
2.033	158.683	335.443	265.144	339.705
2.043	161.276	314.721	266.046	333.470
2.053	156.677	301.450	266.820	357.145
2.063	144.379	296.516	266.946	378.946
2.073	124.567	295.429	265.992	390.829
2.083	112.076	295.654	263.324	394.801
2.093	101.787	296.000	258.626	394.547
2.103	97.048	296.285	253.614	392.973
2.113	96.933	296.553	249.442	391.269
2.123	97.670	296.823	247.444	389.729
2.133	98.241	297.089	246.821	388.479
2.143	98.495	297.307	247.029	387.680
2.153	98.545	297.415	247.626	387.434
2.163	98.526	297.358	248.353	387.705
2.173	98.514	297.108	248.972	388.413
2.183	98.527	296.694	249.371	389.368
2.193	98.549	296.204	249.553	390.313
2.203	98.556	295.749	249.578	391.070
2.213	98.525	295.405	249.525	391.698
2.223	98.457	295.207	249.454	392.330
2.233	98.384	295.141	249.382	393.046
2.243	98.324	295.173	249.306	393.819
2.253	98.288	295.258	249.229	394.469
2.263	98.269	295.359	249.152	394.721
2.273	98.261	295.453	249.071	394.454
2.283	98.265	295.524	248.975	393.707
2.293	98.276	295.564	248.841	392.665
2.303	98.279	295.572	248.662	391.355
2.313	98.267	295.568	248.447	389.882
2.323	98.245	295.572	248.189	388.548
2.333	98.217	295.588	247.922	387.772
2.343	98.176	295.626	247.687	387.791
2.353	98.113	295.684	247.520	388.553
2.363	98.035	295.757	247.428	389.772
2.373	97.970	295.843	247.407	391.119
2.383	97.953	295.934	247.461	392.271
2.393	97.987	296.020	247.599	393.076
2.403	98.047	296.094	247.778	393.581
2.413	98.102	296.156	247.945	393.772
2.423	98.132	296.207	248.040	393.761
2.433	98.133	296.246	248.034	393.684
2.443	98.120	296.269	247.945	393.624
2.453	98.102	296.272	247.812	393.432
2.463	98.085	296.267	247.673	392.895
2.473	98.073	296.277	247.540	391.930
2.483	98.071	296.307	247.425	390.587
2.493	98.083	296.353	247.346	389.090
2.503	98.114	296.396	247.308	387.819
2.513	98.165	296.431	247.299	387.064
2.523	98.226	296.467	247.311	387.029
2.533	98.281	296.503	247.335	387.686
2.543	98.316	296.522	247.353	388.960
2.553	98.326	296.524	247.338	390.598
2.563	98.314	296.523	247.266	392.316
2.573	98.292	296.530	247.155	393.860
2.583	98.276	296.548	247.074	395.078
2.593	98.267	296.566	247.073	395.866
2.603	98.258	296.573	247.139	396.194
2.613	98.243	296.576	247.241	396.105
2.623	98.216	296.585	247.354	395.691
2.633	98.170	296.611	247.456	395.046
2.643	98.090	296.657	247.535	394.152
2.653	97.974	296.716	247.589	392.944
2.663	97.843	296.777	247.637	391.406
2.673	97.725	296.825	247.701	389.740
2.683	97.636	296.853	247.783	388.301
2.693	97.575	296.869	247.879	387.432
2.703	97.524	296.884	247.987	387.274
2.713	97.472	296.899	248.093	387.849
2.723	97.430	296.906	248.191	389.044
2.733	97.414	296.903	248.292	390.556
2.743	97.430	296.898	248.396	392.062
2.753	97.478	296.897	248.477	393.416
2.763	97.545	296.898	248.519	394.569
2.773	97.625	296.891	248.515	395.449
2.783	97.714	296.871	248.463	395.997
2.793	97.798	296.850	248.364	396.087
2.803	97.858	296.844	248.225	395.729
2.813	97.878	296.852	248.051	394.956
2.823	97.868	296.863	247.847	393.874
2.833	97.855	296.867	247.627	392.521
2.843	97.859	296.866	247.409	390.979
2.853	97.891	296.867	247.214	389.374
2.863	97.945	296.872	247.096	388.004
2.873	98.012	296.875	247.072	387.154
2.883	98.083	296.857	247.102	386.899
2.893	98.154	296.816	247.135	387.193
2.903	98.203	296.767	247.132	387.970
2.913	98.235	296.733	247.104	389.021
2.923	98.256	296.722	247.074	390.072
2.933	98.261	296.728	247.069	390.983
2.943	98.240	296.740	247.104	391.835
2.953	98.182	296.749	247.167	392.833
2.963	98.087	296.751	247.260	393.946
2.973	97.973	296.742	247.370	394.816
2.983	97.858	296.729	247.468	395.107
2.993	97.748	296.720	247.539	394.847
3.003	97.643	296.721	247.571	394.189
3.013	97.553	296.738	247.553	393.184
3.023	97.493	296.771	247.498	391.820
3.033	97.477	296.818	247.438	390.216
3.043	97.511	296.878	247.359	388.675
3.053	97.589	296.943	247.233	387.575
3.063	97.699	297.003	247.067	387.072
3.073	97.837	297.058	246.894	387.132
3.083	97.997	297.114	246.746	387.698
3.093	98.153	297.176	246.634	388.731
3.103	98.271	297.256	246.556	390.102
3.113	98.346	297.368	246.526	391.707
3.123	98.391	297.528	246.570	393.397
3.133	98.406	297.760	246.711	394.990
3.143	98.392	298.043	246.930	396.300
3.153	98.360	298.367	247.201	397.189
3.163	98.325	298.675	247.502	397.613
3.173	98.297	298.867	247.815	397.668
3.183	98.276	299.033	248.102	397.523
3.193	98.260	299.971	248.308	397.276
3.203	98.254	303.529	248.420	397.006
3.213	98.266	311.400	248.466	396.776
3.223	98.316	321.647	248.473	396.620
3.233	98.445	329.421	248.498	396.606
3.243	98.727	332.542	248.652	396.872
3.253	99.202	333.225	249.078	397.046
3.263	99.749	333.200	249.879	396.113
3.273	99.972	333.318	250.878	393.847
3.283	99.572	333.516	251.678	391.554
3.293	99.488	333.542	252.071	390.437
3.303	101.995	333.375	251.980	391.289
3.313	107.788	333.158	251.520	393.359
3.323	114.817	332.987	251.682	395.270
3.333	121.701	332.865	253.783	396.518
3.343	125.780	332.787	257.245	397.294
3.353	129.975	332.782	259.640	397.816
3.363	132.698	332.854	260.845	398.053
3.373	133.228	332.976	261.563	397.957
3.383	132.964	333.028	262.339	397.544
3.393	132.631	333.012	263.202	397.063
3.403	132.395	332.988	263.868	396.703
3.413	132.237	333.000	264.017	396.521
3.423	132.117	333.052	263.730	396.463
3.433	132.024	333.091	263.216	396.498
3.443	131.959	333.093	262.589	396.663
3.453	131.909	333.085	261.921	396.933
3.463	131.851	333.088	261.344	397.205
3.473	131.792	333.084	261.055	397.381
