0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133	512.221
0.143	333.028	519.213
0.153	333.299	523.249
0.163	333.534	525.190
0.173	333.743	525.997
0.183	333.899	526.404
0.193	333.923	526.705
0.203	333.802	526.887
0.213	333.543	526.942
0.223	333.236	264.856	526.979
0.233	332.999	263.745	527.044
0.243	332.892	263.083	527.093
0.253	332.917	262.628	527.108
0.263	332.963	262.535	527.068
0.273	332.929	263.024	527.019
0.283	332.844	263.993	527.048
0.293	332.783	264.999	527.135
0.303	332.788	265.588	527.228
0.313	224.679	332.843	265.696	527.297
0.323	225.057	332.906	265.524	527.344
0.333	225.360	332.936	265.297	527.378
0.343	225.441	332.920	265.141	527.401
0.353	225.351	332.858	265.050	527.411
0.363	225.196	332.744	264.959	527.403
0.373	225.078	332.583	264.811	527.384
0.383	224.999	332.402	264.591	527.371
0.393	224.940	332.242	264.321	527.369
0.403	224.910	332.138	264.056	527.366
0.413	224.914	332.130	263.845	527.341
0.423	224.927	332.220	263.703	527.292
0.433	224.920	332.404	263.611	527.215
0.443	224.878	332.651	263.554	527.108
0.453	224.804	332.908	263.534	527.001
0.463	224.704	333.108	263.558	526.943
0.473	224.599	333.246	263.628	526.934
0.483	224.495	333.429	263.740	526.908
0.493	224.397	333.736	263.888	526.804
0.503	224.325	334.190	264.053	526.615
0.513	224.288	334.976	264.198	526.396
0.523	224.275	336.564	264.281	526.201
0.533	224.273	339.451	264.289	526.065
0.543	224.277	343.819	264.233	525.974
0.553	224.288	348.947	264.126	525.887
0.563	224.298	353.075	263.981	525.763
0.573	224.310	354.682	263.803	525.552
0.583	224.331	354.565	263.591	525.222
0.593	224.366	353.766	263.347	524.816
0.603	224.399	353.132	263.085	524.507
0.613	224.405	352.919	262.823	524.385
0.623	224.386	352.967	262.584	524.343
0.633	224.350	353.038	262.401	524.286
0.643	224.291	352.988	262.336	524.233
0.653	224.199	352.843	262.469	524.227
0.663	224.101	352.655	262.836	524.224
0.673	224.020	352.468	263.341	524.147
0.683	223.964	352.289	263.812	523.941
0.693	223.947	352.106	264.131	523.641
0.703	223.976	351.925	264.260	523.341
0.713	224.037	351.775	264.219	523.168
0.723	224.102	351.690	264.072	523.253
0.733	224.158	351.684	263.919	523.663
0.743	224.196	351.741	263.889	524.330
0.753	224.195	351.828	264.144	525.107
0.763	224.140	351.921	264.765	525.961
0.773	224.041	352.025	265.755	527.035
0.783	223.990	352.147	267.005	528.710
0.793	224.189	352.263	268.276	531.395
0.803	224.895	352.306	269.281	534.765
0.813	226.277	352.187	269.916	537.155
0.823	228.234	351.925	270.328	536.067
0.833	229.228	351.868	270.386	531.719
0.843	228.507	353.094	269.786	527.229
0.853	226.836	357.604	268.530	524.843
0.863	220.846	367.607	267.179	524.549
0.873	208.239	382.584	266.110	525.418
0.883	194.601	396.336	265.418	526.808
0.893	178.612	403.499	265.048	528.091
0.903	170.139	404.271	264.866	528.862
0.913	167.647	402.086	264.763	529.056
0.923	167.765	399.885	264.647	528.798
0.933	168.464	398.680	264.487	528.264
0.943	168.916	398.214	264.324	527.546
0.953	168.990	398.065	264.208	526.655
0.963	168.899	398.083	264.154	525.645
0.973	168.815	398.200	264.145	524.798
0.983	168.762	398.284	264.164	524.525
