0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093	113.236
0.103	115.788
0.113	116.453
0.123	116.390
0.133	116.359
0.143	116.506
0.153	116.758
0.163	117.019	290.862
0.173	117.236	293.003	385.513
0.183	117.398	294.727	387.890
0.193	117.501	295.832	389.879
0.203	117.532	296.521	391.392
0.213	117.468	296.898	392.407
0.223	117.360	297.057	393.032
0.233	117.234	300.357	297.020	393.470
0.243	117.116	300.467	296.836	393.832
0.253	117.043	300.674	296.504	394.055
0.263	117.042	300.698	296.072	394.024
0.273	117.087	300.446	295.620	393.705
0.283	117.117	300.069	295.225	393.168
0.293	117.095	299.806	294.912	392.641
0.303	117.062	299.734	294.662	392.313
0.313	117.168	299.722	294.450	392.241
0.323	117.566	299.657	294.345	392.420
0.333	118.090	299.504	294.516	392.842
0.343	118.318	299.304	295.060	393.434
0.353	117.808	299.105	295.936	394.020
0.363	116.265	298.923	296.959	394.423
0.373	114.195	298.752	297.920	394.590
0.383	112.343	298.588	298.638	394.660
0.393	111.331	298.426	299.001	394.649
0.403	111.029	298.256	299.083	394.435
0.413	111.082	298.052	299.127	393.934
0.423	111.251	297.816	299.504	393.235
0.433	111.400	297.593	300.186	392.503
0.443	111.487	297.415	299.768	391.834
0.453	111.518	297.282	295.224	391.264
0.463	111.519	297.185	285.142	390.898
0.473	111.505	297.127	272.308	390.892
0.483	111.466	297.119	263.698	391.298
0.493	111.407	297.157	259.839	391.987
0.503	111.342	297.227	259.700	392.789
0.513	111.276	297.301	260.933	393.558
0.523	111.213	297.349	262.378	394.046
0.533	111.159	297.350	263.495	394.070
0.543	111.123	297.288	264.228	393.763
0.553	111.124	297.183	264.506	393.317
0.563	111.159	297.073	264.190	392.876
0.573	111.217	296.980	263.402	392.510
0.583	111.286	296.901	262.630	392.242
0.593	111.364	296.839	262.195	392.099
0.603	111.441	296.802	262.115	392.086
0.613	111.496	296.785	262.339	392.142
0.623	111.537	296.792	262.768	392.209
0.633	111.637	296.822	263.283	392.308
0.643	111.842	296.871	263.764	392.590
0.653	111.945	296.915	264.112	393.148
0.663	111.312	296.932	264.258	393.723
0.673	109.098	296.942	264.231	392.909
0.683	105.415	296.991	264.156	390.957
0.693	101.361	297.099	264.164	390.092
0.703	98.547	297.269	264.402	393.387
0.713	97.489	297.494	264.908	404.691
0.723	97.634	297.777	265.542	424.968
0.733	98.152	298.149	265.890	447.791
0.743	98.513	298.616	265.142	462.347
0.753	98.640	299.180	261.963	468.442
0.763	98.615	299.864	254.637	469.985
0.773	98.527	300.767	246.190	469.605
0.783	98.437	301.725	240.451	468.804
0.793	98.365	302.254	237.716	467.913
0.803	98.311	302.116	236.646	467.018
0.813	98.281	301.454	236.189	466.381
0.823	98.280	300.631	235.974	466.213
0.833	98.299	299.937	235.879	466.504
0.843	98.334	299.466	235.835	467.125
0.853	98.386	299.166	235.786	467.974
0.863	98.451	298.914	235.726	468.788
0.873	98.513	298.625	235.646	469.224
0.883	98.555	298.271	235.500	469.162
0.893	98.567	297.916	235.282	468.819
0.903	98.554	297.633	235.026	468.499
0.913	98.545	297.448	234.764	468.335
0.923	98.613	297.357	234.508	468.173
0.933	98.869	297.330	234.260	467.571
0.943	99.449	297.310	234.044	466.330
0.953	100.467	297.271	233.869	464.559
0.963	101.892	297.202	233.765	462.649
0.973	103.259	297.090	233.752	461.130
0.983	104.045	296.960	233.812	460.448
0.993	105.305	296.843	233.936	460.882
1.003	107.522	296.741	234.097	462.266
1.013	109.069	296.645	234.264	464.041
