0.023
0.033
0.043
0.053
0.063	225.222	289.248
0.073	225.720	292.639
0.083	226.021	294.732
0.093	225.936	167.574	295.730
0.103	225.501	170.504	296.075
0.113	224.863	172.087	296.181
0.123	224.281	173.219	296.350
0.133	223.884	174.050	296.631
0.143	223.592	174.760	296.937
0.153	223.350	175.470	297.188
0.163	223.190	176.176	297.351
0.173	223.183	176.800	297.398
0.183	223.253	177.276	297.298
0.193	223.302	177.595	297.009
0.203	223.307	177.789	296.530
0.213	142.845	223.307	177.891	295.859
0.223	145.347	223.315	177.954	295.104
0.233	147.422	223.322	178.016	294.406
0.243	149.023	223.326	178.095	293.845
0.253	150.037	223.323	178.187	293.458
0.263	150.508	223.277	178.278	293.269
0.273	150.637	223.183	178.384	293.300
0.283	150.523	223.098	178.546	293.541
0.293	150.278	223.061	178.780	294.007
0.303	149.934	223.059	179.053	294.650
0.313	149.531	223.053	179.318	295.323
0.323	149.078	223.028	179.551	295.856
0.333	148.613	222.997	179.743	296.204
0.343	148.188	222.969	179.886	296.422
0.353	147.840	222.952	179.977	296.510
0.363	147.635	222.955	179.992	296.417
0.373	147.581	222.964	179.879	296.036
0.383	147.631	222.978	179.823	295.370
0.393	147.761	222.980	180.577	294.529
0.403	147.920	222.945	183.639	293.679
0.413	148.069	222.885	189.198	292.955
0.423	148.175	222.828	194.924	292.447
0.433	148.173	222.774	198.334	292.250
0.443	147.985	222.717	199.227	292.379
0.453	147.623	222.670	198.992	292.878
0.463	147.362	222.662	198.588	293.717
0.473	147.878	222.696	198.438	294.788
0.483	150.226	222.766	198.586	295.806
0.493	154.776	222.835	198.840	296.506
0.503	160.420	222.875	199.041	296.896
0.513	165.115	222.873	199.153	297.119
0.523	167.637	222.845	199.184	297.246
0.533	168.559	222.811	199.177	297.203
0.543	168.661	222.748	199.178	296.839
0.553	168.500	222.672	199.223	296.073
0.563	168.335	222.634	199.317	295.093
0.573	168.249	222.639	199.427	294.196
0.583	168.206	222.662	199.511	293.528
0.593	168.150	222.700	199.543	293.174
0.603	168.052	222.730	199.527	293.177
0.613	167.918	222.763	199.485	293.485
0.623	167.776	222.885	199.429	294.053
0.633	167.654	223.197	199.393	294.766
0.643	167.539	223.783	199.389	295.415
0.653	167.421	224.608	199.396	295.828
0.663	167.327	225.590	199.419	295.989
0.673	167.288	226.428	199.524	296.024
0.683	167.317	226.948	199.829	296.054
0.693	167.410	227.271	200.490	296.123
0.703	167.552	227.329	202.695	296.200
0.713	167.710	226.855	208.222	296.199
0.723	167.848	225.958	216.329	295.968
0.733	167.925	224.926	219.573	295.317
0.743	167.972	224.149	220.147	294.312
0.753	168.245	223.854	220.013	293.789
