0.023
0.033
0.043
0.053
0.063
0.073	388.042
0.083	389.465
0.093	390.618
0.103	391.316
0.113	391.651
0.123	391.755
0.133	391.650
0.143	298.065	240.860	391.451
0.153	298.117	241.895	391.302
0.163	297.895	242.841	391.243
0.173	297.432	243.782	391.224
0.183	296.941	244.745	391.285
0.193	296.676	245.689	391.436
0.203	296.729	246.493	391.613
0.213	297.015	247.053	391.726
0.223	297.325	247.383	391.743
0.233	297.469	247.572	391.712
0.243	297.403	247.769	391.687
0.253	297.176	248.067	391.696
0.263	200.036	296.894	248.458	391.726
0.273	201.487	296.634	248.853	391.760
0.283	202.209	296.433	249.135	391.790
0.293	202.292	296.310	249.259	391.795
0.303	201.993	296.257	249.203	391.762
0.313	201.579	296.251	249.008	391.716
0.323	201.173	296.280	248.770	391.632
0.333	200.814	296.332	248.588	391.500
0.343	200.518	296.373	248.545	391.410
0.353	200.293	296.378	248.645	391.441
0.363	200.132	296.337	248.846	391.567
0.373	200.009	296.244	249.080	391.712
0.383	199.877	296.130	249.288	391.816
0.393	199.694	296.031	249.436	391.830
0.403	199.455	295.965	249.506	391.744
0.413	199.203	295.952	249.479	391.597
0.423	199.010	295.998	249.401	391.402
0.433	198.903	296.083	249.320	391.121
0.443	198.881	296.171	249.249	390.723
0.453	198.891	296.233	249.217	390.230
0.463	198.862	296.245	249.223	389.776
0.473	198.763	296.201	249.248	389.511
0.483	198.595	296.118	249.279	389.523
0.493	198.393	296.022	249.309	389.781
0.503	198.197	295.940	249.322	390.220
0.513	198.040	295.889	249.287	390.777
0.523	197.937	295.875	249.168	391.330
0.533	197.865	295.894	249.013	391.759
0.543	197.806	295.921	248.876	392.003
0.553	197.752	295.929	248.794	392.023
0.563	197.700	295.906	248.810	391.845
0.573	197.654	295.861	248.948	391.476
0.583	197.615	295.806	249.174	390.933
0.593	197.567	295.757	249.398	390.238
0.603	197.493	295.724	249.572	389.507
0.613	197.394	295.709	249.719	388.897
0.623	197.300	295.712	249.881	388.576
0.633	197.240	295.748	250.148	388.684
0.643	197.212	295.832	250.654	389.244
0.653	197.213	295.946	251.522	390.066
0.663	197.245	296.088	252.747	390.928
0.673	197.307	296.253	253.892	391.634
0.683	197.396	296.409	254.116	392.095
0.693	197.502	296.546	253.241	392.335
