0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143
0.153
0.163
0.173
0.183
0.193
0.203
0.213
0.223
0.233
0.243
0.253	174.650
0.263	174.624
0.273	174.674	289.897
0.283	225.513	174.972	290.428
0.293	225.153	175.543	290.387
0.303	224.940	176.312	290.475
0.313	224.719	177.142	290.818
0.323	224.294	177.857	291.248
0.333	223.715	178.313	291.739
0.343	223.136	178.483	292.372
0.353	222.710	178.465	293.084
0.363	222.474	178.376	293.719
0.373	222.377	178.300	294.188
0.383	222.381	178.281	294.435
0.393	222.451	178.324	294.363
0.403	222.565	178.413	293.899
0.413	149.011	222.679	178.526	293.112
0.423	149.442	222.701	178.631	292.214
0.433	150.037	222.626	178.697	291.427
0.443	150.656	222.539	178.709	290.862
0.453	151.105	222.519	178.669	290.472
0.463	151.302	222.599	178.578	290.272
0.473	151.305	222.760	178.457	290.299
0.483	151.214	222.921	178.355	290.621
0.493	151.076	222.997	178.305	291.163
0.503	150.888	223.003	178.305	291.802
0.513	150.648	222.992	178.342	292.406
0.523	150.364	222.962	178.407	292.896
0.533	150.051	222.901	178.488	293.220
0.543	149.761	222.828	178.566	293.335
0.553	149.528	222.822	178.620	293.218
0.563	149.356	222.883	178.630	292.875
0.573	149.246	222.900	178.590	292.338
0.583	149.164	222.836	178.490	291.744
0.593	149.096	222.769	178.312	291.277
0.603	149.035	222.787	178.103	290.950
0.613	148.969	222.826	177.926	290.745
0.623	148.884	222.826	177.825	290.688
0.633	148.782	222.799	177.811	290.856
0.643	148.670	222.778	177.874	291.239
0.653	148.553	222.769	177.995	291.734
0.663	148.427	222.767	178.151	292.206
0.673	148.294	222.777	178.307	292.572
0.683	148.173	222.812	178.450	292.818
0.693	148.076	222.850	178.589	292.950
0.703	147.976	222.862	178.722	292.977
0.713	147.858	222.839	178.845	292.938
0.723	147.744	222.800	178.950	292.888
0.733	147.651	222.794	179.033	292.858
0.743	147.589	222.849	179.064	292.841
0.753	147.549	222.899	178.928	292.814
0.763	147.523	222.932	178.439	292.752
0.773	147.506	223.032	177.463	292.603
0.783	147.500	223.359	176.484	292.301
0.793	147.503	224.017	176.333	291.798
0.803	147.499	225.161	178.342	291.150
0.813	147.475	226.737	185.216	290.615
0.823	147.449	228.713	196.817	290.434
0.833	147.431	230.616	210.416	290.336
0.843	147.401	230.972	218.313	289.971
0.853	147.364	229.235	221.437	288.962
0.863	147.338	227.503	222.135	286.488
0.873	147.311	228.452	221.983	280.083
0.883	147.277	234.470	221.788	266.524
0.893	147.252	250.026	221.754	245.042
0.903	147.230	269.638	221.829	238.325
0.913	147.191	288.158	221.952	264.447
0.923	147.250	298.168	222.038	309.115
0.933	147.612	300.899	222.026	338.770
0.943	148.513	300.517	221.942	352.370
0.953	149.853	299.002	221.816	354.838
0.963	150.564	297.526	221.680	353.106
0.973	150.186	296.546	221.534	351.074
0.983	149.192	296.133	221.383	349.873
0.993	148.649	296.152	221.261	349.515
1.003	148.488	296.306	221.196	349.641
1.013	148.514	296.383	221.186	349.865
1.023	148.588	296.333	221.204	350.030
1.033	148.665	296.191	221.234	350.139
1.043	148.710	296.025	221.248	350.221
1.053	148.692	295.898	221.223	350.259
1.063	148.599	295.840	221.177	350.294
1.073	148.450	295.834	221.141	350.392
1.083	148.290	295.845	221.121	350.567
1.093	148.140	295.829	221.102	350.774
1.103	148.005	295.715	221.079	350.937
1.113	147.889	295.514	221.051	351.018
1.123	147.779	295.313	221.017	351.048
1.133	147.655	295.143	220.969	351.076
1.143	147.508	294.987	220.908	351.122
1.153	147.338	294.854	220.858	351.167
1.163	147.150	294.757	220.853	351.214
1.173	146.942	294.702	220.914	351.268
1.183	146.742	294.699	221.018	351.306
1.193	146.588	294.728	221.124	351.320
1.203	146.505	294.763	221.204	351.309
1.213	146.519	294.777	221.249	351.270
1.223	146.634	294.750	221.257	351.214
1.233	146.833	294.694	221.235	351.138
1.243	147.089	294.623	221.183	351.033
1.253	147.375	294.556	221.088	350.909
1.263	147.666	294.509	220.946	350.816
1.273	147.920	294.486	220.803	350.788
1.283	148.102	294.480	220.720	350.775
1.293	148.223	294.493	220.725	350.732
1.303	148.312	294.521	220.814	350.696
1.313	148.363	294.553	220.965	350.759
1.323	148.350	294.575	221.168	350.949
1.333	148.265	294.579	221.432	351.147
1.343	148.115	294.560	221.813	351.236
1.353	147.917	294.510	222.407	351.174
1.363	147.702	294.428	223.399	350.950
1.373	147.489	294.342	224.737	350.614
1.383	147.298	294.286	226.274	350.222
1.393	147.147	294.278	227.887	349.775
1.403	147.092	294.318	229.860	349.181
1.413	147.163	294.373	231.917	348.383
1.423	147.411	294.414	233.457	347.551
1.433	147.827	294.454	234.297	347.311
1.443	148.255	294.610	234.635	348.822
1.453	148.242	295.070	234.671	353.468
1.463	147.012	296.039	234.651	362.721
1.473	143.236	297.436	234.713	376.036
1.483	137.571	298.839	234.791	386.953
1.493	131.367	299.998	234.805	393.137
1.503	124.892	300.770	234.761	394.979
1.513	116.959	300.909	234.655	394.039
1.523	108.390	300.259	234.483	392.743
1.533	102.343	298.920	234.266	392.076
1.543	99.186	297.312	234.080	392.066
1.553	97.908	295.956	233.969	392.365
1.563	97.915	295.064	233.934	392.718
1.573	98.371	294.615	233.956	392.984
1.583	98.798	294.550	234.022	393.012
1.593	99.055	294.713	234.132	392.827
1.603	99.164	294.945	234.279	392.595
1.613	99.164	295.114	234.416	392.468
1.623	99.109	295.247	234.482	392.468
1.633	99.024	295.595	234.486	392.552
1.643	98.919	296.418	234.453	392.640
1.653	98.813	297.629	234.404	392.626
1.663	98.725	298.887	234.395	392.479
1.673	98.656	300.017	234.455	392.277
1.683	98.597	300.888	234.536	392.116
1.693	98.542	301.338	234.578	392.008
1.703	98.491	301.408	234.561	391.932
1.713	98.445	301.243	234.534	391.886
1.723	98.414	301.182	234.559	391.834
1.733	98.396	301.645	234.620	391.704
1.743	98.383	302.670	234.679	391.493
1.753	98.361	303.781	234.710	391.311
1.763	98.328	234.669	391.256
1.773	98.295	234.555	391.339
1.783	98.264	234.448	391.508
1.793	98.237	234.423	391.642
1.803	98.208	234.482	391.670
1.813	98.176	234.541	391.656
1.823	98.142	331.974	234.561	391.637
1.833	98.115	332.286	234.560	391.603
1.843	98.093	332.143	234.555	391.578
1.853	98.070	331.623	234.543	391.605
1.863	98.043	330.997	234.533	391.699
1.873	98.012	330.499	234.525	391.843
1.883	97.984	330.146	234.526	392.034
1.893	97.964	329.901	234.560	392.340
1.903	97.944	329.753	234.601	392.841
1.913	97.917	329.676	234.598	393.434
1.923	97.890	329.633	234.581	393.928
1.933	97.874	329.652	234.601	394.227
1.943	97.874	329.872	234.667	394.354
1.953	97.883	330.551	234.762	394.417
1.963	97.896	331.832	234.951	394.467
1.973	97.910	333.545	235.387	394.512
1.983	97.922	335.345	236.218	394.730
1.993	97.931	336.879	237.433	394.594
2.003	97.920	338.009	238.517	393.638
2.013	97.880	338.708	238.731	392.335
2.023	97.856	339.026	237.826	391.139
2.033	97.955	339.119	236.763	390.445
2.043	98.351	339.028	236.973	391.185
2.053	99.093	338.510	239.875	395.322
2.063	99.823	337.985	243.264	405.480
2.073	99.624	247.098	420.531
2.083	97.027	253.272	435.739
2.093	91.472	263.748	444.295
2.103	84.224	276.903	446.866
2.113	77.407	286.929	445.915
2.123	74.842	292.866	443.220
2.133	74.131	295.531	440.419
2.143	74.097	353.688	296.611	438.235
2.153	74.312	353.292	297.053	437.074
2.163	74.456	352.739	297.285	437.105
2.173	74.472	352.388	297.339	438.167
2.183	74.438	352.382	297.202	439.688
2.193	74.382	352.592	296.889	441.234
2.203	74.328	352.822	296.457	442.691
2.213	74.275	352.911	295.959	443.965
2.223	74.236	352.790	295.483	444.989
2.233	74.226	352.474	295.117	445.447
2.243	74.237	352.074	294.919	445.097
2.253	74.244	351.664	294.909	444.116
2.263	74.244	351.319	295.054	442.998
2.273	74.238	351.099	295.297	442.102
2.283	74.243	350.998	295.567	441.553
2.293	74.266	350.957	295.801	441.281
2.303	74.298	350.922	295.930	441.182
2.313	74.330	350.858	295.908	441.109
2.323	74.337	350.748	295.747	440.876
2.333	74.340	350.599	295.495	440.316
2.343	74.347	350.434	295.188	439.512
2.353	74.371	350.303	294.891	438.734
2.363	74.405	350.234	294.677	438.163
2.373	74.434	350.233	294.592	437.761
2.383	74.455	350.272	294.636	437.469
2.393	74.471	350.320	294.796	437.441
2.403	74.475	350.361	295.011	437.829
2.413	74.466	350.379	295.214	438.616
2.423	74.446	350.375	295.347	439.633
2.433	74.423	350.358	295.384	440.719
2.443	74.415	350.345	295.346	441.758
2.453	74.419	350.346	295.267	442.699
2.463	74.433	350.370	295.178	443.475
2.473	74.453	350.419	295.096	443.913
2.483	74.475	350.488	294.995	443.687
2.493	74.495	350.579	294.853	442.536
2.503	74.512	350.677	294.701	440.791
2.513	74.521	350.755	294.612	439.220
