0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143
0.153
0.163	469.930
0.173	467.602
0.183	466.843
0.193	467.840
0.203	469.537
0.213	470.984
0.223	472.021
0.233	472.529
0.243	472.557
0.253	472.435
0.263	282.417	472.312
0.273	357.416	289.311	472.112
0.283	357.725	293.807	471.888
0.293	357.868	296.820	471.731
0.303	357.763	298.645	471.658
0.313	357.433	299.626	471.683
0.323	356.952	299.866	471.783
0.333	356.449	299.587	471.858
0.343	356.063	298.933	471.762
0.353	355.874	298.118	471.447
0.363	121.002	355.856	297.364	470.980
0.373	119.885	355.938	296.891	470.563
0.383	119.222	356.020	296.808	470.443
0.393	119.054	356.046	297.063	470.610
0.403	119.181	356.020	297.531	470.836
0.413	119.322	355.961	298.055	470.907
0.423	119.338	355.872	298.500	470.809
0.433	119.246	355.745	298.809	470.688
0.443	119.093	355.591	298.974	470.621
0.453	118.949	355.438	298.998	470.612
0.463	118.873	355.317	298.903	470.632
0.473	118.858	355.231	298.711	470.607
0.483	118.898	355.147	298.496	470.507
0.493	118.988	355.051	298.354	470.464
0.503	119.070	354.949	298.338	470.592
0.513	119.062	354.864	298.444	470.801
0.523	118.944	354.807	298.621	470.966
0.533	118.747	354.763	298.813	471.045
0.543	118.496	354.712	298.961	471.047
0.553	118.223	354.632	299.020	470.989
0.563	117.971	354.526	298.990	470.942
0.573	117.815	354.419	298.893	470.977
0.583	117.794	354.326	298.762	471.065
0.593	117.720	354.262	298.629	471.115
0.603	117.020	354.239	298.516	471.072
0.613	115.308	354.254	298.437	470.957
0.623	113.214	354.292	298.411	470.848
0.633	111.843	354.343	298.428	470.818
0.643	111.536	354.417	298.460	470.854
0.653	111.940	354.515	298.478	470.882
0.663	112.382	354.614	298.469	470.854
0.673	112.475	354.692	298.439	470.779
0.683	112.327	354.735	298.401	470.677
0.693	112.113	354.721	298.369	470.561
0.703	111.960	354.639	298.360	470.442
0.713	111.907	354.500	298.365	470.312
0.723	111.912	354.319	298.364	470.167
0.733	111.920	354.150	298.350	470.039
0.743	111.878	354.028	298.332	469.963
0.753	111.797	353.899	298.322	469.929
0.763	111.716	353.709	298.332	469.919
0.773	111.648	353.408	298.381	469.919
0.783	111.581	353.170	298.463	469.928
0.793	111.543	353.772	298.564	469.975
0.803	111.541	356.787	298.708	470.109
0.813	111.556	364.390	299.012	470.355
0.823	111.558	377.101	299.666	470.597
0.833	111.549	391.540	300.748	470.567
0.843	111.543	402.459	301.907	469.945
0.853	111.527	408.181	302.335	468.293
0.863	111.496	409.134	301.427	465.393
0.873	111.580	407.793	299.696	462.120
0.883	112.255	406.031	298.061	460.958
0.893	114.283	404.775	297.389	462.870
0.903	116.838	403.926	297.550	466.289
0.913	116.760	403.175	298.048	469.502
0.923	112.815	402.398	298.516	471.885
0.933	105.817	401.680	298.749	473.348
0.943	101.541	401.097	298.761	473.841
0.953	98.601	400.681	298.621	472.828
0.963	97.843	400.420	298.401	470.733
0.973	98.021	400.302	298.119	469.908
0.983	98.335	400.289	297.791	470.428
0.993	98.550	400.313	297.462	471.320
1.003	98.595	400.310	297.205	471.671
1.013	98.544	400.241	297.064	471.282
1.023	98.441	400.075	297.027	470.330
1.033	98.343	399.832	297.074	469.245
1.043	98.268	399.568	297.161	468.651
1.053	98.222	399.330	297.236	468.728
