0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093
0.103
0.113
0.123
0.133
0.143
0.153
0.163
0.173
0.183
0.193
0.203
0.213
0.223
0.233
0.243
0.253
0.263
0.273
0.283
0.293
0.303	256.141
0.313	321.759
0.323	356.463
0.333	367.941
0.343	369.124
0.353	445.411	368.604	584.540
0.363	445.510	368.872	584.264
0.373	445.533	369.617	583.749
0.383	445.513	370.226	583.089
0.393	445.477	370.470	582.547
0.403	445.463	370.487	582.396
0.413	445.499	370.386	582.628
0.423	445.587	370.278	582.928
0.433	445.695	370.237	583.128
0.443	445.767	370.259	583.306
0.453	445.776	370.311	583.622
0.463	445.730	370.376	584.104
0.473	445.655	370.440	584.490
0.483	445.577	370.487	584.616
0.493	149.329	445.517	370.519	584.640
0.503	148.953	445.487	370.566	584.773
0.513	148.978	445.479	370.649	585.057
0.523	149.456	445.487	370.748	585.374
0.533	150.068	445.502	370.812	585.529
0.543	150.533	445.518	370.815	585.504
0.553	150.742	445.531	370.780	585.436
0.563	150.737	445.536	370.761	585.432
0.573	150.588	445.528	370.805	585.462
0.583	150.353	445.508	370.915	585.476
0.593	150.077	445.483	371.041	585.485
0.603	149.817	445.458	371.116	585.535
0.613	149.607	445.438	371.091	585.651
0.623	149.461	445.428	370.953	585.733
0.633	149.361	445.425	370.701	585.652
0.643	149.280	445.428	370.362	585.431
0.653	149.203	445.429	370.032	585.263
0.663	149.132	445.422	369.816	585.309
0.673	149.073	445.408	369.762	585.538
0.683	149.016	445.388	369.849	585.831
0.693	148.947	445.366	370.034	585.927
0.703	148.858	445.345	370.291	585.741
0.713	148.758	445.321	370.573	585.330
0.723	148.677	445.290	370.794	584.968
0.733	148.629	445.245	370.877	585.094
0.743	148.600	445.191	370.776	585.788
0.753	148.566	445.137	370.548	586.435
0.763	148.508	445.092	370.292	586.887
0.773	148.412	445.062	370.087	587.235
0.783	148.300	445.049	369.975	587.477
0.793	148.200	445.053	369.977	587.593
0.803	148.129	445.080	370.130	587.609
0.813	148.087	445.128	370.456	587.571
0.823	148.054	445.193	370.931	587.513
0.833	148.023	445.272	371.466	587.454
0.843	147.985	445.366	371.950	587.402
0.853	147.936	445.480	372.319	587.368
0.863	147.900	445.621	372.774	587.351
0.873	147.892	445.760	373.804	587.299
0.883	147.901	445.800	376.044	587.174
0.893	147.923	445.559	379.504	587.025
0.903	147.943	444.979	382.387	586.898
0.913	147.947	444.047	383.152	586.766
0.923	147.923	443.197	380.452	586.577
0.933	147.889	443.649	374.326	586.335
0.943	147.870	367.769	586.077
0.953	147.893	363.657	585.936
0.963	147.993	362.787	586.053
0.973	148.203	363.988	586.483
0.983	148.432	366.035	587.088
0.993	148.406	368.076	587.493
1.003	147.700	498.356	369.541	587.053
1.013	145.572	499.772	370.246	585.559
1.023	142.124	500.610	370.234	583.029
1.033	137.906	500.948	369.711	580.169
1.043	134.191	501.047	369.015	579.242
1.053	131.324	501.077	368.396	580.974
1.063	130.197	501.058	367.993	583.625
1.073	129.322	500.973	367.927	585.445
1.083	127.947	500.836	368.130	586.119
1.093	126.572	500.690	368.461	586.034
1.103	125.631	500.559	368.788	585.484
1.113	125.092	500.445	369.056	584.617
1.123	124.887	500.354	369.300	583.642
1.133	124.830	500.279	369.523	582.920
1.143	124.741	500.194	369.703	582.955
1.153	124.595	500.081	369.826	583.664
1.163	124.408	499.934	369.905	584.443
1.173	124.214	499.754	369.929	584.990
1.183	124.058	499.555	369.860	585.453
1.193	123.929	499.353	369.684	585.814
1.203	123.854	499.162	369.442	585.562
1.213	123.830	499.007	369.190	584.565
1.223	123.829	498.897	368.997	583.128
1.233	123.828	498.812	368.911	581.990
1.243	123.818	498.743	368.931	581.660
1.253	123.797	498.694	369.024	582.238
1.263	123.775	498.674	369.139	583.447
1.273	123.763	498.685	369.242	584.968
1.283	123.761	498.727	369.324	586.625
1.293	123.767	498.781	369.381	588.108
1.303	123.789	498.815	369.417	588.920
1.313	123.803	498.814	369.435	588.939
1.323	123.785	498.775	369.434	588.620
1.333	123.732	498.711	369.419	588.254
1.343	123.673	498.637	369.418	587.919
1.353	123.647	498.559	369.453	587.655
1.363	123.664	498.483	369.550	587.480
1.373	123.716	498.412	369.694	587.345
1.383	123.783	498.364	369.830	587.179
1.393	123.835	498.347	369.919	586.900
1.403	123.835	498.361	369.966	586.300
1.413	123.775	498.399	369.999	585.378
1.423	123.683	498.457	370.040	584.472
1.433	123.603	498.527	370.127	583.959
1.443	123.565	498.597	370.286	583.901
1.453	123.551	498.651	370.488	584.073
1.463	123.554	498.669	370.695	584.361
1.473	123.590	498.641	370.871	584.756
1.483	123.627	498.587	371.010	585.196
1.493	123.643	498.525	371.107	585.675
1.503	123.637	498.472	371.152	586.275
1.513	123.615	498.447	371.166	587.086
1.523	123.582	498.457	371.204	587.903
1.533	123.534	498.498	371.270	588.446
1.543	123.477	498.561	371.300	588.541
1.553	123.421	498.629	371.252	588.202
1.563	123.352	498.695	371.157	587.532
1.573	123.242	498.759	371.059	586.469
1.583	123.082	498.831	370.995	584.762
1.593	122.994	498.916	370.974	583.067
1.603	123.314	498.999	370.973	582.115
1.613	125.179	499.062	370.964	581.971
1.623	129.883	499.113	370.938	582.228
1.633	137.546	499.179	370.914	582.570
1.643	145.791	499.264	370.942	582.986
1.653	148.641	499.348	371.115	583.732
1.663	149.965	499.417	371.486	585.098
1.673	150.032	499.476	371.970	586.874
1.683	149.729	499.519	372.436	588.394
1.693	149.382	499.549	372.808	589.172
1.703	149.143	499.576	373.140	589.353
1.713	149.014	499.617	373.464	589.008
1.723	148.953	499.685	373.771	588.210
1.733	148.933	499.770	374.057	587.251
1.743	148.938	499.851	374.322	586.236
1.753	148.940	499.914	374.542	584.851
1.763	148.894	499.938	374.657	583.129
1.773	148.782	499.922	374.620	582.004
1.783	148.638	499.874	374.415	581.745
1.793	148.506	499.808	374.072	582.113
1.803	148.400	499.729	373.681	582.797
1.813	148.309	499.636	373.333	583.723
1.823	148.220	499.523	373.040	584.910
1.833	148.142	499.395	372.787	586.154
1.843	148.092	499.256	372.588	587.013
1.853	148.066	499.123	372.473	587.193
1.863	148.037	499.011	372.472	586.827
1.873	147.996	498.938	372.558	586.305
1.883	147.944	498.919	372.609	585.764
1.893	147.884	498.954	372.535	584.886
1.903	147.825	499.024	372.317	583.637
1.913	147.784	499.098	372.048	582.701
1.923	147.777	499.154	371.846	582.216
1.933	147.809	499.175	371.769	582.033
1.943	147.860	499.151	371.799	582.012
1.953	147.932	499.098	371.834	582.020
1.963	148.021	499.033	371.804	582.009
1.973	148.095	498.978	371.689	581.980
1.983	148.132	498.962	371.517	581.940
1.993	148.133	498.998	371.324	581.922
2.003	148.114	499.077	371.131	581.957
2.013	148.090	499.180	370.944	582.101
2.023	148.084	499.291	370.766	582.406
2.033	148.093	499.390	370.610	582.768
2.043	148.097	499.475	370.490	583.035
2.053	148.088	499.535	370.441	583.129
2.063	148.079	499.552	370.473	583.032
2.073	148.058	499.521	370.575	582.690
2.083	148.021	499.445	370.739	582.029
2.093	148.002	499.331	370.958	581.080
2.103	148.062	499.210	371.243	580.151
2.113	148.274	499.215	371.591	579.690
