0.023
0.033
0.043
0.053
0.063
0.073
0.083
0.093	276.805
0.103	335.814	278.908	413.809
0.113	335.831	280.882	422.761
0.123	335.749	282.098	429.802
0.133	335.596	282.449	433.879
0.143	335.375	282.196	435.695
0.153	335.153	281.793	436.461
0.163	334.967	281.426	436.916
0.173	334.815	281.184	437.266
0.183	334.676	281.127	437.387
0.193	221.867	334.463	281.279	437.240
0.203	223.632	334.125	281.560	436.958
0.213	224.698	333.726	281.867	436.725
0.223	225.132	333.381	282.109	436.673
0.233	225.019	333.193	282.238	436.782
0.243	224.720	333.158	282.243	436.871
0.253	224.478	333.153	282.113	436.817
0.263	224.347	333.117	281.882	436.683
0.273	224.295	333.057	281.610	436.589
0.283	224.312	332.976	281.356	436.613
0.293	224.371	332.887	281.170	436.717
0.303	224.429	332.808	281.108	436.840
0.313	224.441	332.738	281.153	436.920
0.323	224.398	332.671	281.240	436.917
0.333	224.341	332.608	281.291	436.867
0.343	224.302	332.555	281.270	436.791
0.353	224.273	332.512	281.180	436.643
0.363	224.240	332.484	281.054	436.436
0.373	224.204	332.468	280.911	436.242
0.383	224.173	332.455	280.764	436.098
0.393	224.149	332.437	280.640	435.999
0.403	224.128	332.413	280.575	435.933
0.413	224.067	332.394	280.589	435.895
0.423	223.930	332.382	280.631	435.876
0.433	223.742	332.377	280.648	435.899
0.443	223.552	332.386	280.630	435.976
0.453	223.383	332.401	280.576	436.071
0.463	223.219	332.423	280.465	436.131
0.473	223.082	332.458	280.274	436.183
0.483	223.017	332.498	280.036	436.305
0.493	223.031	332.510	279.851	436.558
0.503	223.109	332.467	279.795	436.910
0.513	223.162	332.379	279.874	437.254
0.523	222.969	332.283	280.088	437.505
0.533	222.373	332.221	280.390	437.633
0.543	221.618	332.209	280.727	437.670
0.553	221.078	332.257	281.104	437.701
0.563	220.918	332.376	281.559	437.794
0.573	221.076	332.562	282.029	437.968
0.583	221.346	332.792	282.231	438.234
0.593	221.588	333.100	281.590	438.594
0.603	221.743	333.580	279.559	439.002
0.613	221.828	334.375	276.313	439.402
0.623	221.912	335.526	274.213	439.734
0.633	222.082	336.826	272.775	439.942
0.643	222.382	337.901	266.501	439.964
0.653	222.815	338.455	258.011	439.734
0.663	223.477	338.266	251.051	439.208
0.673	224.529	337.382	248.479	438.585
0.683	225.962	336.264	248.446	438.625
0.693	227.151	335.385	249.256	440.546
0.703	226.942	334.749	250.035	445.837
0.713	225.975	334.179	250.456	454.635
0.723	225.419	333.765	250.516	465.672
0.733	224.704	333.607	250.351	476.532
0.743	222.056	333.624	250.100	484.396
0.753	218.043	333.696	249.851	489.620
0.763	213.252	333.756	249.642	492.523
0.773	210.737	333.767	249.493	494.170
0.783	210.418	333.699	249.398	495.206
0.793	210.972	333.545	249.339	495.865
0.803	211.204	333.345	249.284	496.235
0.813	210.934	333.176	249.222	496.279
0.823	210.547	333.093	249.171	496.092
0.833	210.266	333.057	249.127	495.981
0.843	210.112	333.036	249.101	496.077
0.853	210.067	333.040	249.121	496.195
0.863	210.091	333.072	249.210	495.979
0.873	210.123	333.101	249.402	495.290
0.883	210.144	333.090	249.707	494.281
0.893	210.146	333.056	250.089	493.346
0.903	210.143	333.062	250.396	492.788
0.913	210.147	333.093	250.224	492.598
0.923	210.179	333.125	248.804	492.615
0.933	210.248	333.142	245.293	492.708
0.943	210.365	333.150	239.598	493.005
0.953	210.561	333.173	232.698	493.661
0.963	210.933	333.172	226.888	494.605
0.973	211.641	333.201	223.490	495.424
0.983	212.587	333.319	222.226	495.848
0.993	213.302	333.501	222.147	495.935
1.003	212.882	333.646	222.357	495.913
1.013	210.382	333.681	222.517	495.926
1.023	205.008	333.644	222.638	495.846
1.033	198.421	333.552	222.759	495.424
1.043	193.618	333.409	222.868	494.554
1.053	191.505	333.285	222.934	493.449
1.063	190.989	333.214	222.950	492.437
1.073	190.808	333.187	222.916	491.702
1.083	190.458	333.188	222.852	491.195
1.093	190.079	333.209	222.796	491.009
1.103	189.804	333.256	222.777	491.352
1.113	189.587	333.320	222.797	492.362
1.123	189.401	333.357	222.820	493.732
1.133	189.249	333.328	222.829	495.038
1.143	189.131	333.248	222.819	495.943
1.153	189.052	333.172	222.792	496.393
1.163	188.969	333.144	222.781	496.534
1.173	188.844	333.192	222.841	496.439
1.183	188.668	333.340	223.003	496.167
1.193	188.443	333.556	223.270	495.737
1.203	188.175	333.772	223.656	495.175
1.213	187.892	333.981	224.116	494.443
1.223	187.629	334.310	224.278	493.373
1.233	187.403	334.885	223.497	491.793
1.243	187.271	335.751	221.215	489.652
1.253	187.431	336.708	217.722	487.602
1.263	188.218	337.465	213.940	487.064
1.273	189.940	337.884	211.499	488.505
1.283	192.499	337.917	210.265	490.704
1.293	194.895	337.562	209.931	492.654
1.303	196.147	336.975	210.012	494.422
1.313	195.426	336.348	210.244	495.890
1.323	190.153	335.761	210.460	496.778
1.333	180.031	335.108	210.614	496.870
1.343	171.695	334.438	210.713	496.291
1.353	167.207	333.884	210.775	495.335
1.363	165.996	333.538	210.811	494.320
1.373	166.205	333.322	210.814	493.439
1.383	166.724	333.197	210.799	492.716
1.393	167.107	333.158	210.779	492.193
1.403	167.248	333.168	210.749	492.031
1.413	167.220	333.186	210.734	492.314
1.423	167.114	333.173	210.771	492.965
1.433	166.996	333.124	210.865	493.809
1.443	166.899	333.088	210.981	494.646
1.453	166.825	333.071	211.097	495.331
1.463	166.765	333.068	211.198	495.813
1.473	166.704	333.119	211.268	496.030
1.483	166.662	333.206	211.299	495.955
1.493	166.671	333.298	211.307	495.613
1.503	166.757	333.354	211.323	495.117
1.513	166.926	333.339	211.359	494.580
1.523	167.098	333.283	211.404	494.087
1.533	166.992	333.229	211.450	493.684
1.543	166.059	333.190	211.504	493.394
1.553	163.673	333.143	211.561	493.176
1.563	159.533	333.086	211.616	492.986
1.573	154.590	333.052	211.663	492.854
1.583	150.817	333.062	211.705	492.800
1.593	149.101	333.093	211.749	492.800
1.603	148.945	333.124	211.786	492.826
1.613	149.263	333.158	211.801	492.856
1.623	149.203	333.177	211.793	492.885
1.633	148.860	333.153	211.778	492.951
1.643	148.484	333.097	211.765	493.095
1.653	148.180	333.030	211.756	493.317
1.663	147.993	332.962	211.753	493.567
1.673	147.925	332.946	211.771	493.827
1.683	147.949	332.983	211.827	494.115
1.693	147.989	333.002	211.918	494.498
1.703	147.996	333.009	212.017	494.995
1.713	147.964	333.020	212.084	495.491
1.723	147.899	333.032	212.115	495.745
1.733	147.825	333.045	212.153	495.524
1.743	147.771	333.044	212.224	494.721
1.753	147.722	333.017	212.313	493.430
1.763	147.661	332.971	212.443	491.992
1.773	147.601	332.929	212.813	490.590
1.783	147.550	332.909	213.896	487.570
1.793	147.490	332.917	216.081	478.449
1.803	147.419	332.948	219.275	462.805
1.813	147.362	333.023	221.887	448.447
1.823	147.318	333.231	222.257	440.461
1.833	147.262	333.678	220.542	438.300
1.843	147.206	334.418	218.984	438.520
1.853	147.185	335.338	219.120	439.285
1.863	147.192	336.206	220.375	439.984
1.873	147.192	336.755	221.620	440.700
1.883	147.154	336.853	222.368	441.609
1.893	147.042	336.512	222.698	442.679
1.903	146.888	335.777	222.847	443.785
1.913	146.902	334.849	222.945	444.839
1.923	147.192	334.051	223.015	445.833
1.933	147.608	333.457	223.046	446.710
1.943	147.700	332.958	223.025	447.140
1.953	146.869	332.574	222.984	446.642
1.963	145.283	332.421	222.938	445.065
1.973	143.162	332.451	222.918	442.801
1.983	141.663	332.563	222.914	440.686
1.993	140.442	332.654	222.903	439.389
2.003	139.970	332.636	222.880	438.915
2.013	139.994	332.491	222.843	438.892
2.023	140.094	332.290	222.820	439.000
2.033	140.119	332.099	222.835	439.205
2.043	140.086	331.927	222.845	439.605
2.053	140.000	331.760	222.818	440.359
2.063	139.862	331.613	222.746	441.473
2.073	139.682	331.526	222.657	442.758
2.083	139.506	331.544	222.594	443.886
2.093	139.342	331.648	222.584	444.535
2.103	139.189	331.770	222.621	444.632
2.113	139.065	331.866	222.683	444.228
2.123	138.968	331.918	222.745	443.246
2.133	138.886	331.926	222.791	441.825
2.143	138.837	331.905	222.816	440.389
2.153	138.845	331.878	222.806	439.225
2.163	138.925	331.878	222.791	438.433
2.173	139.024	331.932	222.790	438.089
2.183	139.113	332.038	222.772	438.111
2.193	139.207	332.167	222.712	438.378
2.203	139.331	332.275	222.635	438.858
2.213	139.469	332.338	222.573	439.617
2.223	139.567	332.373	222.531	440.638
2.233	139.611	332.387	222.518	441.796
2.243	139.613	332.402	222.549	442.835
