# path scale-EMaj-090BPM-leg-lined.mid
@resolution 960
@format "#o #d #p"
@track 0 untitled
1.160417 0.650000 329.627557
1.810417 0.556250 369.994423
2.367708 0.680208 415.304698
3.048958 0.619792 440.000000
3.668750 0.602083 493.883301
4.271875 0.650000 554.365262
4.922917 0.600000 622.253967
5.523958 0.280208 659.255114
6.222917 0.650000 659.255114
6.872917 0.603125 622.253967
7.476042 0.695833 554.365262
8.172917 0.734375 493.883301
8.907292 0.697917 440.000000
9.605208 0.703125 415.304698
10.309375 0.646875 369.994423
10.956250 0.679167 329.627557
