Name,Precision,Recall,F1,OverlapRatio
arpeg-CMaj-060BPM-leg.txt,0.0,0.0,0,0
arpeg-CMaj-060BPM-stac.txt,1.0,1.0,1.0,0.292233
arpeg-CMaj-060BPM-ten.txt,1.0,1.0,1.0,0.923057
arpeg-CMaj-090BPM-leg.txt,1.0,1.0,1.0,0.970578
arpeg-CMaj-090BPM-stac.txt,1.0,1.0,1.0,0.501156
arpeg-CMaj-090BPM-ten.txt,1.0,1.0,1.0,0.820599
arpeg-CMaj-120BPM-leg.txt,1.0,1.0,1.0,0.970767
arpeg-CMaj-120BPM-stac.txt,1.0,1.0,1.0,0.535617
arpeg-CMaj-120BPM-ten.txt,1.0,1.0,1.0,0.912696
scale-CMaj-060BPM-leg.txt,1.0,1.0,1.0,0.942105
scale-CMaj-060BPM-stac.txt,0.3125,0.3125,0.3125,0.270006
scale-CMaj-060BPM-ten.txt,1.0,1.0,1.0,0.902087
scale-CMaj-090BPM-leg.txt,1.0,1.0,1.0,0.934719
scale-CMaj-090BPM-stac.txt,1.0,1.0,1.0,0.390185
scale-CMaj-090BPM-ten.txt,1.0,1.0,1.0,0.946642
scale-CMaj-120BPM-leg.txt,1.0,1.0,1.0,0.985431
scale-CMaj-120BPM-stac.txt,1.0,1.0,1.0,0.493047
scale-CMaj-120BPM-ten.txt,1.0,1.0,1.0,0.968274
Mean,0.90625,0.90625,0.90625,0.708844388889
