# path scale-AbMaj-120BPM-leg-lined.mid
@resolution 960
@format "#o #d #p"
@track 0 untitled
0.556250 0.464583 415.304698
1.021875 0.510417 466.163762
1.532292 0.509375 523.251131
2.042708 0.510417 554.365262
2.553125 0.510417 622.253967
3.064583 0.551042 698.456463
3.616667 0.562500 783.990872
4.179167 0.198958 830.609395
4.643750 0.470833 830.609395
5.114583 0.551042 783.990872
5.666667 0.453125 698.456463
6.120833 0.426042 622.253967
6.547917 0.518750 554.365262
7.066667 0.548958 523.251131
7.615625 0.515625 466.163762
8.131250 0.444792 415.304698
