# path scale-FMaj-090BPM-stac-lined.mid
@resolution 960
@format "#o #d #p"
@track 0 untitled
1.044792 0.271875 349.228231
1.740625 0.233333 391.995436
2.297917 0.308333 440.000000
2.901042 0.307292 466.163762
3.551042 0.288542 523.251131
4.247917 0.252083 587.329536
4.851042 0.278125 659.255114
5.501042 0.248958 698.456463
6.152083 0.287500 659.255114
6.848958 0.229167 587.329536
7.498958 0.263542 523.251131
8.148958 0.262500 466.163762
8.800000 0.246875 440.000000
9.450000 0.235417 391.995436
10.192708 0.595833 349.228231
